AddTextComponentString	c	HUD	0x6C188BE134E074AA		text:string	AddTextComponentSubstringPlayerName
AddTextComponentString2	c	HUD	0x94CF4AC034C9C986		website:string	AddTextComponentSubstringWebsite
AddTextComponentString3	c	HUD	0x5F68520888E69014		string:string	AddTextComponentSubstringKeyboardDisplay
AddTextComponentSubstringBlipName	c	HUD	0x80EAD8E2E1D5D52E		blip:Blip	
AddTextComponentSubstringKeyboardDisplay	c	HUD	0x5F68520888E69014		string:string	
AddTextComponentSubstringPhoneNumber	c	HUD	0x761B77454205A61D		p0:string,p1:integer	
AddTextComponentSubstringPlayerName	c	HUD	0x6C188BE134E074AA		text:string	
AddTextComponentSubstringTextLabel	c	HUD	0xC63CD5D2920ACBE7		labelName:string	
AddTextComponentSubstringTextLabelHashKey	c	HUD	0x17299B63C7683A2B		gxtEntryHash:Hash	
AddTextComponentSubstringTime	c	HUD	0x1115F16B8AB9E8BF		timestamp:integer,flags:integer	
AddTextComponentSubstringWebsite	c	HUD	0x94CF4AC034C9C986		website:string	
AddTextEntry	c	CFX	0x32CA01C3		entryKey:string,entryText:string	
AddTextEntryByHash	c	CFX	0x289DA860		entryKey:Hash,entryText:string	
AddToClockTime	c	CLOCK	0xD716F30D8C8980E2		hours:integer,minutes:integer,seconds:integer	
AddToItemset	c	ITEMSET	0xE3945201F14637DD	boolean	p0:any,p1:any	
AddTrevorRandomModifier	c	HUD	0x595B5178E412E199	boolean	gamerTagId:integer	IsMpGamerTagFree
AddVehicleCombatAngledAvoidanceArea	c	VEHICLE	0x54B0F614960F4A5F	any	p0:number,p1:number,p2:number,p3:number,p4:number,p5:number,p6:number	
AddVehicleCombatAvoidanceArea	c	VEHICLE	0x54B0F614960F4A5F	any	p0:number,p1:number,p2:number,p3:number,p4:number,p5:number,p6:number	AddVehicleCombatAngledAvoidanceArea
AddVehicleCrewEmblem	c	GRAPHICS	0x428BDCB9DA58DA53	boolean	vehicle:Vehicle,ped:Ped,boneIndex:integer,x1:number,x2:number,x3:number,y1:number,y2:number,y3:number,z1:number,z2:number,z3:number,scale:number,p13:any,alpha:integer	
AddVehiclePhoneExplosiveDevice	c	VEHICLE	0x99AD4CCCB128CBC9		vehicle:Vehicle	
AddVehicleStuckCheckWithWarp	c	VEHICLE	0x2FA9923062DD396C		p0:any,p1:number,p2:any,p3:boolean,p4:boolean,p5:boolean,p6:any	
AddVehicleSubtaskAttackCoord	c	TASK	0x5CF0D8F9BBA0DD75		ped:Ped,x:number,y:number,z:number	
AddVehicleSubtaskAttackPed	c	TASK	0x85F462BADC7DA47F		ped:Ped,ped2:Ped	
AddVehicleUpsidedownCheck	c	VEHICLE	0xB72E26D81006005B		vehicle:Vehicle	
AdvanceClockTimeTo	c	CLOCK	0xC8CA9670B9D83B3B		hour:integer,minute:integer,second:integer	
AllowAmbientVehiclesToAvoidAdverseConditions	c	VEHICLE	0xB264C4D2F2B0A78B		vehicle:Vehicle	
AllowMissionCreatorWarp	c	MISC	0xDEA36202FC3382DF		toggle:boolean	
AllowPauseMenuWhenDeadThisFrame	c	HUD	0xCC3FDDED67BCFC63			
AllowPlayerSwitchAscent	c	STREAMING	0x8E2A065ABDAE6994			
AllowPlayerSwitchDescent	c	STREAMING	0xAD5FDF34B81BFE79			
AllowPlayerSwitchOutro	c	STREAMING	0x74DE2E8739086740			
AllowPlayerSwitchPan	c	STREAMING	0x43D1680C6D19A8E9			
AllowSonarBlips	c	HUD	0x60734CC207C9833C		toggle:boolean	
AnimateGameplayCamZoom	c	CAM	0xDF2E1F7742402E81		p0:number,distance:number	
AnimatedShakeCam	c	CAM	0xA2746EEAE3E577CD		cam:Cam,p1:string,p2:string,p3:string,amplitude:number	
AnimatedShakeScriptGlobal	c	CAM	0xC2EAE3FB8CDBED31		p0:string,p1:string,p2:string,p3:number	
AnimpostfxGetUnk	c	GRAPHICS	0xE35B38A27E8E7179	number	effectName:string	
AnimpostfxIsRunning	c	GRAPHICS	0x36AD3E690DA5ACEB	boolean	effectName:string	
AnimpostfxPlay	c	GRAPHICS	0x2206BF9A37B7F724		effectName:string,duration:integer,looped:boolean	
AnimpostfxStop	c	GRAPHICS	0x068E835A1D0DC0E3		effectName:string	
AnimpostfxStopAll	c	GRAPHICS	0xB4EDDC19532BFB85			
AnimpostfxStopAndDoUnk	c	GRAPHICS	0xD2209BE128B5418C		effectName:string	
AnyPassengersRappeling	c	VEHICLE	0x291E373D483E7EE7	boolean	vehicle:Vehicle	IsAnyPedRappellingFromHeli
AppClearBlock	c	APP	0x5FE1DF3342DB7DBA			
AppCloseApp	c	APP	0xE41C65E07A5F05FC			
AppCloseBlock	c	APP	0xE8E3FCF72EAC0EF8			
AppDataValid	c	APP	0x846AA8E7D55EE5B6	boolean		
AppDeleteAppData	c	APP	0x44151AEA95C8A003	boolean	appName:string	
AppGetDeletedFileStatus	c	APP	0xC9853A2BE3DED1A6	integer		
AppGetFloat	c	APP	0x1514FB24C02C2322	number	property:string	
AppGetInt	c	APP	0xD3A58A12C77D9D4B	integer	property:string	
AppGetString	c	APP	0x749B023950D2311C	string	property:string	
AppHasLinkedSocialClubAccount	c	APP	0x71EEE69745088DA0	boolean		
AppHasSyncedData	c	APP	0xCA52279A7271517F	boolean	appName:string	
AppSaveData	c	APP	0x95C5D356CDA6E85F			
